album,name,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
Ghosts V: Together,Letting Go While Holding On,578943,"E (also Ddouble sharp, F♭)",Major,4,0.9790000000000001,0.11599999999999999,0.13,0.9740000000000001,0.11,-20.029,0.037000000000000005,79.852,0.0386
Ghosts V: Together,Together,603649,"C (also B♯, Ddouble flat)",Minor,4,0.9279999999999999,0.174,0.165,0.9309999999999999,0.0944,-20.291,0.044000000000000004,119.986,0.0399
Ghosts V: Together,Out In The Open,315053,"A (also Gdouble sharp, Bdouble flat)",Major,4,0.9440000000000001,0.127,0.408,0.9009999999999999,0.0898,-13.423,0.0404,60.076,0.0349
Ghosts V: Together,With Faith,580363,"G♯, A♭",Major,4,0.971,0.473,0.27699999999999997,0.9570000000000001,0.11699999999999999,-17.038,0.034,119.985,0.04
Ghosts V: Together,Apart,815434,"A♯, B♭ (also Cdouble flat)",Major,4,0.877,0.11699999999999999,0.228,0.912,0.0859,-18.281,0.0379,90.977,0.0291
Ghosts V: Together,Your Touch,267372,"C (also B♯, Ddouble flat)",Minor,3,0.937,0.314,0.37799999999999995,0.847,0.10800000000000001,-15.595,0.0331,125.978,0.0907
Ghosts V: Together,Hope We Can Again,446669,"A♯, B♭ (also Cdouble flat)",Major,4,0.486,0.149,0.308,0.894,0.083,-16.043,0.0385,137.836,0.0577
Ghosts V: Together,Still Right Here,610974,"D (also Cdouble sharp, Edouble flat)",Minor,4,0.899,0.18100000000000002,0.255,0.945,0.0949,-15.597999999999999,0.0458,123.976,0.0364
