,album,track_number,id,name,uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
221,Ghosts I-IV,36,3h0E5Hs8QkFkcAIAMYSPac,36 Ghosts IV,spotify:track:3h0E5Hs8QkFkcAIAMYSPac,139044,7,0,4,0.993,0.676,0.0788,0.905,0.112,-22.484,0.143,127.96,0.554,29
222,Year Zero,1,2KKZGNbtCtjqDU6vgAZB8I,HYPERPOWER!,spotify:track:2KKZGNbtCtjqDU6vgAZB8I,102253,9,1,4,1.49e-05,0.45,0.934,0.948,0.121,-10.306,0.0794,172.005,0.0671,29
223,Year Zero,2,30aRriqqaUbDN1mkTwMRhB,The Beginning Of The End,spotify:track:30aRriqqaUbDN1mkTwMRhB,167440,0,1,4,9.82e-05,0.541,0.992,0.756,0.126,-3.728,0.0511,138.015,0.333,37
224,Year Zero,3,6iuRL2eQNTNQ2trVdbBYsE,Survivalism,spotify:track:6iuRL2eQNTNQ2trVdbBYsE,262493,9,1,4,0.000892,0.618,0.675,0.216,0.133,-5.723,0.0679,129.983,0.354,39
225,Year Zero,4,5i6drXxQsUWeutQBq9UmnE,The Good Soldier,spotify:track:5i6drXxQsUWeutQBq9UmnE,203213,10,1,4,0.0405,0.71,0.509,0.854,0.0927,-9.396,0.039,87.411,0.63,37
226,Year Zero,5,5cNBRAn7c2q7PoQVbKfJhr,Vessel,spotify:track:5cNBRAn7c2q7PoQVbKfJhr,291427,1,1,4,0.00809,0.644,0.857,0.0162,0.0655,-6.122,0.191,91.967,0.381,31
227,Year Zero,6,3ph4tOOVnAnbLuqTzUyW7Q,"Me, I'm Not",spotify:track:3ph4tOOVnAnbLuqTzUyW7Q,291947,7,1,4,0.0209,0.706,0.676,0.263,0.128,-6.188,0.0847,139.981,0.884,38
228,Year Zero,7,0TSkgwKqFVzPmTzdQ6KtV1,Capital G,spotify:track:0TSkgwKqFVzPmTzdQ6KtV1,229667,7,1,4,0.029,0.344,0.894,2.12e-06,0.094,-3.772,0.149,163.396,0.681,40
229,Year Zero,8,60YSrrQDF4AEJUM9NRSqmK,My Violent Heart,spotify:track:60YSrrQDF4AEJUM9NRSqmK,253800,10,0,4,0.0199,0.692,0.838,0.394,0.0494,-7.744,0.188,106.011,0.448,30
230,Year Zero,9,5hJHDY9ZHIPNKLV6VaQv1H,The Warning,spotify:track:5hJHDY9ZHIPNKLV6VaQv1H,218760,10,0,4,0.0445,0.601,0.819,0.316,0.0261,-5.655,0.119,179.975,0.837,30
231,Year Zero,10,5BpGsAv2PU45rqVOT9nv30,God Given,spotify:track:5BpGsAv2PU45rqVOT9nv30,230253,10,0,4,0.0151,0.759,0.843,0.0624,0.119,-5.943,0.169,106.012,0.526,31
232,Year Zero,11,2WjA9M8qjp2jgmn8kO5Tif,Meet Your Master,spotify:track:2WjA9M8qjp2jgmn8kO5Tif,248680,1,1,4,0.0014,0.586,0.837,0.358,0.0541,-4.643,0.0849,166.023,0.59,32
233,Year Zero,12,61KLUhzwdMFyiTtaXkbEjA,The Greater Good,spotify:track:61KLUhzwdMFyiTtaXkbEjA,290920,2,1,4,0.0403,0.709,0.481,0.866,0.0811,-8.255,0.0556,83.002,0.115,28
234,Year Zero,13,48NRmbGX31Ww3maFeiwPhF,The Great Destroyer,spotify:track:48NRmbGX31Ww3maFeiwPhF,197240,11,0,4,0.00401,0.62,0.985,0.0675,0.177,-5.171,0.21,150.001,0.387,30
235,Year Zero,14,5BRi2TgtE4rz1YXAo2IgBV,Another Version Of The Truth,spotify:track:5BRi2TgtE4rz1YXAo2IgBV,246307,7,1,4,0.98,0.189,0.0619,0.94,0.108,-27.302,0.0382,74.311,0.0816,28
236,Year Zero,15,6cPN40WmAutbiNFNgMYRj6,In This Twilight,spotify:track:6cPN40WmAutbiNFNgMYRj6,213813,2,1,4,0.0456,0.481,0.752,0.439,0.174,-6.152,0.0632,109.99,0.142,30
237,Year Zero,16,2vzRDicmCblPDq3vdY8Rjg,Zero Sum,spotify:track:2vzRDicmCblPDq3vdY8Rjg,374867,5,1,4,0.147,0.77,0.605,0.199,0.104,-9.125,0.17,148.057,0.382,30
238,Year Zero,1,5hgWOWFMO817koWUklUTnb,HYPERPOWER!,spotify:track:5hgWOWFMO817koWUklUTnb,102253,9,1,4,1.49e-05,0.45,0.934,0.948,0.121,-10.306,0.0794,172.005,0.0671,27
239,Year Zero,2,2BQ0iumx3T29jLoCaMF49w,The Beginning Of The End,spotify:track:2BQ0iumx3T29jLoCaMF49w,167440,0,1,4,9.82e-05,0.541,0.992,0.756,0.126,-3.728,0.0511,138.015,0.333,35
240,Year Zero,3,04k85vfh2EbwmBFG7ssCF0,Survivalism,spotify:track:04k85vfh2EbwmBFG7ssCF0,262493,9,1,4,0.000892,0.618,0.675,0.216,0.133,-5.723,0.0679,129.983,0.354,35
241,Year Zero,4,2HetFd31uiU3pet41kUGVR,The Good Soldier,spotify:track:2HetFd31uiU3pet41kUGVR,203213,10,1,4,0.0405,0.71,0.509,0.854,0.0927,-9.396,0.039,87.411,0.63,33
242,Year Zero,5,3bXkseontNee1UI9zohKfs,Vessel,spotify:track:3bXkseontNee1UI9zohKfs,291427,1,1,4,0.00809,0.644,0.857,0.0162,0.0655,-6.122,0.191,91.967,0.381,27
243,Year Zero,6,4BIJ4aWcq8ZYWz126tow6S,"Me, I'm Not",spotify:track:4BIJ4aWcq8ZYWz126tow6S,291947,7,1,4,0.0209,0.706,0.676,0.263,0.128,-6.188,0.0847,139.981,0.884,34
244,Year Zero,7,1CYhjCjo6dUCUn2zYRvGKa,Capital G,spotify:track:1CYhjCjo6dUCUn2zYRvGKa,229667,7,1,4,0.029,0.344,0.894,2.12e-06,0.094,-3.772,0.149,163.396,0.681,35
245,Year Zero,8,6cFuZK0cOJamta5lbU1brZ,My Violent Heart,spotify:track:6cFuZK0cOJamta5lbU1brZ,253800,10,0,4,0.0199,0.692,0.838,0.394,0.0494,-7.744,0.188,106.011,0.448,27
246,Year Zero,9,7hNk0LiJHcrk54J4yjW2Oq,The Warning,spotify:track:7hNk0LiJHcrk54J4yjW2Oq,218760,10,0,4,0.0445,0.601,0.819,0.316,0.0261,-5.655,0.119,179.975,0.837,27
247,Year Zero,10,2iUrwhbtA1wDAKLRQlLrVA,God Given,spotify:track:2iUrwhbtA1wDAKLRQlLrVA,230253,10,0,4,0.0151,0.759,0.843,0.0624,0.119,-5.943,0.169,106.012,0.526,27
248,Year Zero,11,3pDJBnCefNLS2oU4wpv1Rp,Meet Your Master,spotify:track:3pDJBnCefNLS2oU4wpv1Rp,248680,1,1,4,0.0014,0.586,0.837,0.358,0.0541,-4.643,0.0849,166.023,0.59,30
