,album,track_number,id,name,uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
23,Waves (Original Score),9,44dYqgg7pV0xvBMflvKxfa,The Light Shines Through,spotify:track:44dYqgg7pV0xvBMflvKxfa,623587,0,0,3,0.966,0.0663,0.0991,0.964,0.0694,-29.074,0.0358,72.631,0.0713,21
24,Waves (Original Score),10,0t8oitSQOFeRErhj8ex9Gl,Forgetting,spotify:track:0t8oitSQOFeRErhj8ex9Gl,113644,0,1,5,0.913,0.16,0.0431,0.915,0.109,-30.825,0.0386,71.577,0.0354,18
25,Waves (Original Score),11,6PjBIt7ca34CvhvEqN4esv,How to Begin?,spotify:track:6PjBIt7ca34CvhvEqN4esv,52107,2,1,3,0.98,0.231,0.0209,0.92,0.062,-31.814,0.0546,138.311,0.0377,17
26,Waves (Original Score),12,2guB7QN2URF7fYmN0OOZrZ,Wounds Heal,spotify:track:2guB7QN2URF7fYmN0OOZrZ,1350656,2,1,4,0.95,0.0754,0.119,0.905,0.104,-24.624,0.0461,75.544,0.0319,18
27,Waves (Original Score),13,4yizIuo64ZwxYkXfLA1AZh,Ties,spotify:track:4yizIuo64ZwxYkXfLA1AZh,132459,2,1,4,0.941,0.183,0.188,0.934,0.091,-19.86,0.0379,82.753,0.0601,19
28,Waves (Original Score),14,6URYYXMO4sHfnXKuebeHIU,Leaving Missouri,spotify:track:6URYYXMO4sHfnXKuebeHIU,256792,1,1,4,0.921,0.162,0.153,0.914,0.0965,-21.925,0.0365,84.007,0.0386,17
29,Watchmen: Volume 2 (Music from the HBO Series),1,5MUifO17sYCKCgOoWxfWZE,TRUST IN THE LAW,spotify:track:5MUifO17sYCKCgOoWxfWZE,123019,2,0,4,0.991,0.382,0.399,0.838,0.186,-15.468,0.0362,124.617,0.29,23
30,Watchmen: Volume 2 (Music from the HBO Series),2,08YN4vDNq3pGdaf0kOHiC4,HE WAS NEVER HERE,spotify:track:08YN4vDNq3pGdaf0kOHiC4,234762,1,1,4,0.725,0.613,0.39,0.901,0.0918,-18.957,0.0526,106.002,0.133,29
31,Watchmen: Volume 2 (Music from the HBO Series),3,6qJ9wSwwwHeFkC4McNpYCn,KICKED IN THE BALLS AGAIN,spotify:track:6qJ9wSwwwHeFkC4McNpYCn,204592,10,1,4,0.921,0.376,0.392,0.946,0.068,-12.321,0.0378,117.962,0.0276,28
32,Watchmen: Volume 2 (Music from the HBO Series),4,7BAoSCaxOxRcTq9IzSmfTI,A TRAVELLER FROM AN ANTIQUE LAND,spotify:track:7BAoSCaxOxRcTq9IzSmfTI,262548,1,1,3,0.876,0.296,0.274,0.924,0.0891,-18.562,0.0364,133.387,0.0385,29
33,Watchmen: Volume 2 (Music from the HBO Series),5,4AA4LpSkvgc1QDhfR1RfeJ,LOSING FACE,spotify:track:4AA4LpSkvgc1QDhfR1RfeJ,82982,11,1,3,0.955,0.156,0.0696,0.93,0.0989,-25.069,0.0379,136.439,0.0376,25
34,Watchmen: Volume 2 (Music from the HBO Series),6,5ungago1SSNUfyOXWraTN5,SQUID PRO QUO,spotify:track:5ungago1SSNUfyOXWraTN5,207747,3,0,1,0.942,0.171,0.5,0.849,0.637,-14.776,0.114,71.669,0.0391,30
35,Watchmen: Volume 2 (Music from the HBO Series),7,0ICC5Iji7n2uTeQPKIybSb,YOUR NAME IS ANGELA ABAR,spotify:track:0ICC5Iji7n2uTeQPKIybSb,57478,6,1,5,0.797,0.553,0.386,0.0,0.239,-13.484,0.384,122.095,0.508,21
36,Watchmen: Volume 2 (Music from the HBO Series),8,2a0ZoFEyz1EA0slvBQ9VB8,NOSTALGIA BLUES,spotify:track:2a0ZoFEyz1EA0slvBQ9VB8,208748,2,0,5,0.817,0.691,0.2,0.831,0.102,-19.324,0.0424,153.614,0.687,23
37,Watchmen: Volume 2 (Music from the HBO Series),9,4IIUYNcAScfxNqLO4oXAeC,PAY NO ATTENTION TO THE CACTUS,spotify:track:4IIUYNcAScfxNqLO4oXAeC,249437,9,1,4,0.886,0.356,0.311,0.878,0.109,-13.551,0.0328,139.953,0.0481,26
38,Watchmen: Volume 2 (Music from the HBO Series),10,5VFLcLareYViFPTOfvYSvq,SEVEN YEARS OF BAD LUCK,spotify:track:5VFLcLareYViFPTOfvYSvq,139061,4,1,4,0.51,0.695,0.598,0.944,0.12,-9.374,0.0655,110.005,0.898,29
39,Watchmen: Volume 2 (Music from the HBO Series),11,3iQm1ix1dPduZY9C19fm9s,THE DARK KNUT RETURNS,spotify:track:3iQm1ix1dPduZY9C19fm9s,168434,1,1,3,0.712,0.577,0.746,0.909,0.186,-10.982,0.0549,174.029,0.453,24
40,Watchmen: Volume 2 (Music from the HBO Series),12,2ePjoA2bEQ09PRbqejhG0I,GHRAIB ME A TERRORIST,spotify:track:2ePjoA2bEQ09PRbqejhG0I,168535,7,1,4,0.63,0.552,0.322,0.949,0.0782,-16.137,0.0672,92.983,0.139,24
41,Watchmen: Volume 2 (Music from the HBO Series),13,3kjEMnGugIVdr7fu79x7Pz,DREAMLAND JAZZ,spotify:track:3kjEMnGugIVdr7fu79x7Pz,197986,2,0,4,0.931,0.445,0.089,0.883,0.075,-17.705,0.0297,64.653,0.26,25
42,Watchmen: Volume 1 (Music from the HBO Series),1,1lY6RaiHqfFIyhCcZSNqvK,HOW THE WEST WAS REALLY WON,spotify:track:1lY6RaiHqfFIyhCcZSNqvK,224905,9,0,3,0.951,0.193,0.361,0.847,0.215,-12.908,0.0374,60.438,0.0339,40
43,Watchmen: Volume 1 (Music from the HBO Series),2,3ATRCCd2aUH1HkEJQ72gXo,ORPHANS OF KRYPTON,spotify:track:3ATRCCd2aUH1HkEJQ72gXo,116779,4,1,4,0.86,0.275,0.0725,0.838,0.112,-24.918,0.0442,71.512,0.0394,36
44,Watchmen: Volume 1 (Music from the HBO Series),3,2EEwzubVEV3GwjVgGLOJYY,GARRYOWEN,spotify:track:2EEwzubVEV3GwjVgGLOJYY,77686,11,0,5,0.923,0.478,0.3,2.31e-05,0.159,-15.739,0.593,219.142,0.161,30
45,Watchmen: Volume 1 (Music from the HBO Series),4,3RYJjxoC1Wm6vcJrEx0BGH,NUN WITH A MOTHERF*&*ING GUN,spotify:track:3RYJjxoC1Wm6vcJrEx0BGH,197224,0,1,4,0.0569,0.786,0.681,0.901,0.09,-9.557,0.12,122.007,0.54,45
46,Watchmen: Volume 1 (Music from the HBO Series),5,2phxuQt5HrefNh3J2o4KXG,OBJECTS IN MIRROR (ARE CLOSER THAN THEY APPEAR),spotify:track:2phxuQt5HrefNh3J2o4KXG,98177,8,1,4,0.0781,0.574,0.508,0.906,0.139,-10.474,0.048,160.099,0.734,41
47,Watchmen: Volume 1 (Music from the HBO Series),6,5ODdxCkbrX05o4YMl9PAYy,KATTLE BATTLE,spotify:track:5ODdxCkbrX05o4YMl9PAYy,102742,1,1,4,0.00414,0.425,0.697,0.881,0.545,-6.882,0.0271,159.994,0.656,38
48,Watchmen: Volume 1 (Music from the HBO Series),7,1pNqVF9VwRT8db6tu6SoUk,AMERICAN PROMO STORY,spotify:track:1pNqVF9VwRT8db6tu6SoUk,48007,7,1,4,0.448,0.238,0.85,0.000836,0.0768,-7.158,0.261,156.248,0.11,30
49,Watchmen: Volume 1 (Music from the HBO Series),8,0m0xG6YSeelpetKQGYBB9I,I’LL WAIT,spotify:track:0m0xG6YSeelpetKQGYBB9I,204546,6,1,4,0.912,0.581,0.314,0.937,0.122,-17.583,0.0378,118.023,0.0949,35
50,Watchmen: Volume 1 (Music from the HBO Series),9,2rP3Vx6Cmu0MDA7Fh5NcWf,TRIGGER WARNING,spotify:track:2rP3Vx6Cmu0MDA7Fh5NcWf,55403,10,0,4,0.829,0.59,0.763,0.00904,0.178,-10.414,0.0977,117.956,0.307,30
51,Watchmen: Volume 1 (Music from the HBO Series),10,2DuZnOx2vdSbpabanPWxDN,THE BRICK,spotify:track:2DuZnOx2vdSbpabanPWxDN,241903,9,1,4,0.665,0.58,0.352,0.761,0.0885,-10.967,0.0293,92.034,0.0959,41
52,Watchmen: Volume 1 (Music from the HBO Series),11,5UZkrhpxJaArKmcIcBootj,NEVER SURRENDER,spotify:track:5UZkrhpxJaArKmcIcBootj,128759,5,1,4,0.352,0.338,0.916,0.836,0.0882,-7.573,0.0576,121.972,0.082,36
53,Watchmen: Volume 1 (Music from the HBO Series),12,56j0qOLw1M0cZU8LKVdyAS,MÜLLER TIME,spotify:track:56j0qOLw1M0cZU8LKVdyAS,145253,0,1,4,0.843,0.351,0.5,0.887,0.108,-11.811,0.116,127.099,0.0389,31
54,Watchmen: Volume 1 (Music from the HBO Series),13,2AWa8ySA6KsppGsMgS6y0u,OWL HUNTS RAT,spotify:track:2AWa8ySA6KsppGsMgS6y0u,157251,8,1,4,0.483,0.353,0.809,0.843,0.0999,-9.266,0.0358,185.351,0.115,34
55,Watchmen: Volume 1 (Music from the HBO Series),14,27AaLJKD4KYViFVdD3S6Iy,ABSENT FRIENDS AND OLD GHOSTS,spotify:track:27AaLJKD4KYViFVdD3S6Iy,209050,3,1,3,0.948,0.157,0.0956,0.941,0.0804,-27.614,0.037,139.107,0.0375,32
56,Watchmen: Volume 1 (Music from the HBO Series),15,5x8gHZrVgqAMd5MaAKHfY6,WATCH OVER THIS BOY,spotify:track:5x8gHZrVgqAMd5MaAKHfY6,218022,0,1,4,0.936,0.466,0.0932,0.903,0.11,-17.648,0.0378,120.007,0.0376,36
57,Bird Box (Abridged) [Original Score],1,3seuV2WItyVgHvgkJgYF9T,Outside,spotify:track:3seuV2WItyVgHvgkJgYF9T,761583,2,1,4,0.953,0.115,0.268,0.895,0.164,-17.609,0.0397,73.378,0.0416,19
